[INFO] 2025-09-08 16:36:24,035 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
[INFO] 2025-09-08 16:36:24,036 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,039 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,043 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[INFO] 2025-09-08 16:36:24,044 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,046 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,053 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-08 16:36:24,076 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[INFO] 2025-09-08 16:36:24,079 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,083 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,084 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,085 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,089 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,097 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,122 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,124 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,126 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
[INFO] 2025-09-08 16:36:24,175 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[INFO] 2025-09-08 16:36:24,186 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[INFO] 2025-09-08 16:36:24,186 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2025-09-08 16:36:24,187 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[INFO] 2025-09-08 16:36:26,233 basehttp "GET /admin/auth/user/2/change/ HTTP/1.1" 200 23641
[INFO] 2025-09-08 16:36:26,279 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-08 16:36:26,581 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[INFO] 2025-09-08 16:36:26,582 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
[INFO] 2025-09-08 16:36:26,588 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
[INFO] 2025-09-08 16:36:26,589 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
[INFO] 2025-09-08 16:36:26,595 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
[INFO] 2025-09-08 16:36:26,622 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[INFO] 2025-09-08 16:36:26,622 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
[INFO] 2025-09-08 16:36:26,683 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
[INFO] 2025-09-08 16:36:26,815 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[INFO] 2025-09-08 16:36:26,815 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
[INFO] 2025-09-08 16:36:26,816 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[INFO] 2025-09-08 16:36:26,818 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
[INFO] 2025-09-08 16:36:26,818 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[INFO] 2025-09-08 17:01:59,149 basehttp "GET /admin/campaigns/campaign/ HTTP/1.1" 200 10769
[INFO] 2025-09-08 17:01:59,211 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-08 17:02:00,311 basehttp "GET /admin/campaigns/message/ HTTP/1.1" 200 11460
[INFO] 2025-09-08 17:02:00,358 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
